date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:43	10319/10319	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:41%20GMT	http://preview.uideck.com/items/thehunt/contact.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/contact.html	(from http://preview.uideck.com/items/thehunt/)
15:23:43	11685/11685	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:55%20GMT	http://preview.uideck.com/items/thehunt/browse-jobs.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/browse-jobs.html	(from http://preview.uideck.com/items/thehunt/)
15:23:44	13888/13888	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:34%20GMT	http://preview.uideck.com/items/thehunt/browse-categories.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/browse-categories.html	(from http://preview.uideck.com/items/thehunt/)
15:23:44	13110/13110	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:54%20GMT	http://preview.uideck.com/items/thehunt/add-resume.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/add-resume.html	(from http://preview.uideck.com/items/thehunt/)
15:23:44	11681/11681	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:38%20GMT	http://preview.uideck.com/items/thehunt/manage-resumes.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/manage-resumes.html	(from http://preview.uideck.com/items/thehunt/)
15:23:45	10483/10483	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:53%20GMT	http://preview.uideck.com/items/thehunt/job-alerts.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/job-alerts.html	(from http://preview.uideck.com/items/thehunt/)
15:23:45	11501/11501	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:51%20GMT	http://preview.uideck.com/items/thehunt/post-job.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/post-job.html	(from http://preview.uideck.com/items/thehunt/)
15:23:46	11230/11230	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:43%20GMT	http://preview.uideck.com/items/thehunt/manage-jobs.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/manage-jobs.html	(from http://preview.uideck.com/items/thehunt/)
15:23:46	11254/11254	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:52%20GMT	http://preview.uideck.com/items/thehunt/manage-applications.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/manage-applications.html	(from http://preview.uideck.com/items/thehunt/)
15:23:46	13194/13194	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:45%20GMT	http://preview.uideck.com/items/thehunt/browse-resumes.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/browse-resumes.html	(from http://preview.uideck.com/items/thehunt/)
15:23:47	13700/13700	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:35%20GMT	http://preview.uideck.com/items/thehunt/blog.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/blog.html	(from http://preview.uideck.com/items/thehunt/)
15:23:47	13698/13698	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:37%20GMT	http://preview.uideck.com/items/thehunt/blog-left-sidebar.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/blog-left-sidebar.html	(from http://preview.uideck.com/items/thehunt/)
15:23:47	10932/10932	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:48%20GMT	http://preview.uideck.com/items/thehunt/blog-full-width.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/blog-full-width.html	(from http://preview.uideck.com/items/thehunt/)
15:23:48	16772/16772	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:56%20GMT	http://preview.uideck.com/items/thehunt/single-post.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/single-post.html	(from http://preview.uideck.com/items/thehunt/)
15:23:48	8618/8618	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Oct%202018%2015:12:47%20GMT	http://preview.uideck.com/items/thehunt/login.html	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/login.html	(from http://preview.uideck.com/items/thehunt/)
15:23:48	1979/1979	---M--	200	added ('OK')	image/png	etag:%225bbe16d7-7bb%22	http://preview.uideck.com/items/thehunt/assets/img/logo-mobile.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/logo-mobile.png	(from http://preview.uideck.com/items/thehunt/)
15:23:51	18636/18636	---M--	200	added ('OK')	image/png	etag:%225bbe169c-48cc%22	http://preview.uideck.com/items/thehunt/assets/img/features/img1.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/features/img1.png	(from http://preview.uideck.com/items/thehunt/)
15:23:52	17263/17263	---M--	200	added ('OK')	image/png	etag:%225bbe169b-436f%22	http://preview.uideck.com/items/thehunt/assets/img/features/img2.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/features/img2.png	(from http://preview.uideck.com/items/thehunt/)
15:23:52	51653/51653	---M--	200	added ('OK')	image/png	etag:%225bbe16d8-c9c5%22	http://preview.uideck.com/items/thehunt/assets/img/intro.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/intro.png	(from http://preview.uideck.com/items/thehunt/)
15:23:52	18015/18015	---M--	200	added ('OK')	image/png	etag:%225bbe169a-465f%22	http://preview.uideck.com/items/thehunt/assets/img/features/img3.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/features/img3.png	(from http://preview.uideck.com/items/thehunt/)
15:23:54	19033/19033	---M--	200	added ('OK')	image/png	etag:%225bbe1698-4a59%22	http://preview.uideck.com/items/thehunt/assets/img/features/img4.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/features/img4.png	(from http://preview.uideck.com/items/thehunt/)
15:23:54	17374/17374	---M--	200	added ('OK')	image/png	etag:%225bbe1697-43de%22	http://preview.uideck.com/items/thehunt/assets/img/features/img5.png	E:/portfolio/Avinashi/SBF/Ref/html/second/portal%202/preview.uideck.com/items/thehunt/assets/img/features/img5.png	(from http://preview.uideck.com/items/thehunt/)
